nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Square Saint Lambert 2,"1, Rue Theophraste Renaudot",75015,PARIS,"1, Rue Theophraste Renaudot 75015 PARIS France","48.842766, 2.295214",15
Square Samuel Champlain,"9, Avenue Gambetta",75020,PARIS,"9, Avenue Gambetta 75020 PARIS France","48.86343, 2.38962",20
Square Serment De Koufra,Avenue Ernest Reyer,75014,PARIS,Avenue Ernest Reyer 75014 PARIS France,"48.823002, 2.321349",14
Archives de Paris,"18, Boulevard Serurier",75019,PARIS,"18, Boulevard Serurier 75019 PARIS France","48.87785, 2.40572",19
Bibliothèque Diderot,"42, Rue Daumesnil",75012,PARIS,"42, Rue Daumesnil 75012 PARIS France","48.846088, 2.37785",12
Bibliothèque Flandre,"35, Rue De Flandre",75019,PARIS,"35, Rue De Flandre 75019 PARIS France","48.886188, 2.3711",19
Bibliothèque Forney,"1, Rue Du Figuier",75004,PARIS,"1, Rue Du Figuier 75004 PARIS France","48.85347, 2.3593",04
Bibliothèque Glaciere,"132, Rue De La Glaciere",75013,PARIS,"132, Rue De La Glaciere 75013 PARIS France","48.827278, 2.34215",13
Bibliothèque Goutte D'Or,"2, Rue Fleury",75018,PARIS,"2, Rue Fleury 75018 PARIS France","48.884369, 2.35408",18
Bibliothèque Herge,"2, Rue Du Departement",75019,PARIS,"2, Rue Du Departement 75019 PARIS France","48.88496, 2.36717",19
Bibliothèque Mouffetard,"74, Rue Mouffetard",75005,PARIS,"74, Rue Mouffetard 75005 PARIS France","48.842499, 2.34971",05
Bibliothèque Place Des Fetes,"18, Rue Janssen",75019,PARIS,"18, Rue Janssen 75019 PARIS France","48.879292, 2.39763",19
Bibliothèque Saint Simon,"116, Rue De Grenelle",75007,PARIS,"116, Rue De Grenelle 75007 PARIS France","48.856819, 2.31999",07
Centre d'Animation Daviel,"24, Rue Daviel",75013,PARIS,"24, Rue Daviel 75013 PARIS France","48.828098, 2.34484",13
Centre d'Animation Jean Mathis,"15, Rue Mathis",75019,PARIS,"15, Rue Mathis 75019 PARIS France","48.890869, 2.37508",19
E.C.A Rive Gauche,"24, Rue Des Ecoles",75005,PARIS,"24, Rue Des Ecoles 75005 PARIS France","48.848751, 2.348",05
Espace Economie Emploi Du 14eme,"13, Rue Remy Dumoncel",75014,PARIS,"13, Rue Remy Dumoncel 75014 PARIS France","48.829739, 2.33237",14
Jardin Cite Prost,17 Rue Titon,75011,PARIS,17 Rue Titon 75011 PARIS France,"48.851879, 2.38638",11
Jardin Des Amandiers,Rue Des Cendriers,75020,PARIS,Rue Des Cendriers 75020 PARIS France,"48.865696, 2.387367",20
